127.0.0.1 - - [07/Apr/2024:23:27:23 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:24 +0700] "GET /PBL3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:24 +0700] "GET /PBL3/trang-chu;jsessionid=4ABB6E1360CFAF3996F77FD86F66898F HTTP/1.1" 200 26768
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/slicknav.css HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/animate.min.css HTTP/1.1" 200 56048
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/flaticon.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/price_rangs.css HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/themify-icons.css HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/style.css HTTP/1.1" 200 103630
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/icon/job-list1.png HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/icon/job-list2.png HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/logo/logo.png HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/icon/job-list3.png HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/fontawesome-all.min.css HTTP/1.1" 200 34680
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/wow.min.js HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/price_rangs.js HTTP/1.1" 200 83096
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.scrollUp.min.js HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/fonts/Flaticon.woff2 HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/animated.headline.js HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/fonts/fa-solid-900.woff2 HTTP/1.1" 200 38784
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/fonts/fa-brands-400.woff2 HTTP/1.1" 200 54420
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/contact.js HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.sticky.js HTTP/1.1" 200 10085
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.form.js HTTP/1.1" 200 41095
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.validate.min.js HTTP/1.1" 200 21068
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/icon/job-list4.png HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/testmonial/testimonial-founder.png HTTP/1.1" 200 28749
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/plugins.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/blog/home-blog2.jpg HTTP/1.1" 200 124433
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/main.js HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/service/support-img.jpg HTTP/1.1" 200 177267
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/icon/form.png HTTP/1.1" 200 1197
